order,image,start,end,seam_from_prev
1,IMG_3019,W1 MA166,W1 MA757R,(first)
2,IMG_3018,W1 MA757R,W1 MC637,=EXACT=
3,IMG_3015,W1 MD239,W1 ME2379,gap
4,IMG_3020,W1 ME2379,W1 ME338,=EXACT=
5,IMG_3021,W1 ME338,W1 ME635P,=EXACT=
6,IMG_3017,W1 ME635P,W1 ME967,=EXACT=
7,IMG_3014,W1 ME967,W1 MI186KH,=EXACT=
8,IMG_3022,W1 MI186KH,W1 MI425,=EXACT=
9,IMG_3023,W1 MI425,W1 MI625,=EXACT=
10,IMG_3016,W1 MI625,W1 MO283,=EXACT=
11,IMG_3013,W1 MO283,W1 MO287,=EXACT=
12,IMG_3024,W1 MO287,W1 MO295M,=EXACT=
13,IMG_3025,W1 MO296A,W1 MO583,gap
14,IMG_3026,W1 MO594,W1 MU869,gap
15,IMG_3027,W1 MU869,W1 NA1991,=EXACT=
16,IMG_3028,W1 NA1991,W1 NA835,=EXACT=
17,IMG_3029,W1 NA835,W1 NA835,=EXACT=
18,IMG_3030,W1 NA839,W1 NE185,gap
19,IMG_3031,W1 NE185,W1 NE252N,=EXACT=
20,IMG_3032,W1 NE252N,W1 NE282,=EXACT=
21,IMG_3033,W1 NE282,W1 NE286DB,=EXACT=
22,IMG_3034,W1 NE286DH,W1 NE286GK,gap
23,IMG_3035,W1 NE286GK,W1 NE411,=EXACT=
24,IMG_3036,W1 NE411,W1 NE411,=EXACT=
25,IMG_3037,W1 NE419,W1 NE554,gap
26,IMG_3061,W1 NE554,W1 NE554,=EXACT=
27,IMG_3060,W1 NE554,W1 NE788,=EXACT=
28,IMG_3038,W1 NE793,W1 NI885,gap
29,IMG_3039,W1 NI885,W1 NO122D,=EXACT=
30,IMG_3059,W1 NO129,W1 NO923,gap
31,IMG_3058,W1 NO923,W1 NU511,=EXACT=
32,IMG_3040,W1 NU511,W1 NU701,=EXACT=
33,IMG_3041,W1 NU701,W1 NU866,=EXACT=
34,IMG_3057,W1 NU869,W1 OC217,gap
35,IMG_3056,W1 OC217,W1 OK716,=EXACT=
36,IMG_3042,W1 OK716,W1 OP264,=EXACT=
37,IMG_3043,W1 OP264,W1 OR129,=EXACT=
38,IMG_3044,W1 OR129,W1 OR854,=EXACT=
39,IMG_3045,W1 OR854,W1 PA180,=EXACT=
40,IMG_3055,W1 PA227,W1 PA971,gap
41,IMG_3046,W1 PA971,W1 PE135H,=EXACT=
42,IMG_3047,W1 PE135H,W1 PE729,=EXACT=
43,IMG_3054,W1 PE734,W1 PH294,gap
44,IMG_3053,W1 PH294,W1 PH663,=EXACT=
45,IMG_3048,W1 PH663,W1 PH925,=EXACT=
46,IMG_3049,W1 PH925,W1 PL111,=EXACT=
47,IMG_3052,W1 PL111Y,W1 PL217,gap
48,IMG_3051,W1 PL217,W1 PO971,=EXACT=
49,IMG_3050,W1 PO971,W1 PO971,=EXACT=
